Date,EnergyPrice
22/12/2016,45.57
23/12/2016,39.31
24/12/2016,41.63
25/12/2016,32.74
26/12/2016,36.41
27/12/2016,37.99
28/12/2016,47
29/12/2016,44.8
30/12/2016,41.5
31/12/2016,41.98
1/01/2017,29.52
2/01/2017,45.15
3/01/2017,41.04
4/01/2017,38.12
5/01/2017,51.64
6/01/2017,47.77
7/01/2017,42.38
8/01/2017,44
9/01/2017,47.99
10/01/2017,53.16
11/01/2017,39.2
12/01/2017,39.81
13/01/2017,42.47
14/01/2017,39.31
15/01/2017,42.63
16/01/2017,62.74
17/01/2017,68.13
18/01/2017,63.9
19/01/2017,63.82
20/01/2017,58.07
21/01/2017,43.66
22/01/2017,43.71
23/01/2017,59.99
24/01/2017,85.59
25/01/2017,65.96
26/01/2017,51.27
27/01/2017,44.27
28/01/2017,41.63
29/01/2017,44.37
30/01/2017,50.9
31/01/2017,66.95
1/02/2017,49.83
2/02/2017,45.18
3/02/2017,47.46
4/02/2017,45.41
5/02/2017,49.11
6/02/2017,61.79
7/02/2017,53.79
8/02/2017,57.7
9/02/2017,55.02
10/02/2017,49.32
11/02/2017,42.37
12/02/2017,35.17
13/02/2017,40.48
14/02/2017,40.55
15/02/2017,44.36
16/02/2017,40.12
17/02/2017,41.94
18/02/2017,39.46
19/02/2017,34.8
20/02/2017,38.38
21/02/2017,38.58
22/02/2017,37.3
23/02/2017,35.97
24/02/2017,39.29
25/02/2017,37.42
26/02/2017,31.25
27/02/2017,37.7
28/02/2017,35.99
1/03/2017,37.36
2/03/2017,34.47
3/03/2017,38.89
4/03/2017,35.9
5/03/2017,31.13
6/03/2017,38.59
7/03/2017,44.58
8/03/2017,36.32
9/03/2017,37.67
10/03/2017,37.01
11/03/2017,33.54
12/03/2017,32.54
13/03/2017,36.47
14/03/2017,35.01
15/03/2017,35.69
16/03/2017,35.44
17/03/2017,34.62
18/03/2017,30.98
19/03/2017,23.6
20/03/2017,33.58
22/03/2017,35.5
23/03/2017,33.44
24/03/2017,34.27
25/03/2017,30.09
26/03/2017,30.42
27/03/2017,35.45
28/03/2017,34.48
29/03/2017,33.23
30/03/2017,33.55
31/03/2017,32.33
1/04/2017,34.25
2/04/2017,31.15
3/04/2017,38.13
4/04/2017,38.6
5/04/2017,34.56
6/04/2017,36.12
7/04/2017,39.3
8/04/2017,34.67
9/04/2017,30.71
10/04/2017,36.4
11/04/2017,38.43
12/04/2017,34.11
13/04/2017,36.49
14/04/2017,38.85
15/04/2017,35.37
16/04/2017,34.05
17/04/2017,30.91
18/04/2017,35.81
19/04/2017,37.5
20/04/2017,35.85
21/04/2017,34.45
22/04/2017,30.9
23/04/2017,35.39
24/04/2017,35.77
25/04/2017,35.86
26/04/2017,38.4
27/04/2017,35.92
28/04/2017,36.27
29/04/2017,36.33
